name,ext,n_segm,length
ArpeggioDita1,input,0,738102
ArpeggioDita1,input,1,738102
ArpeggioDita1,target,0,738102
ArpeggioDita1,target,1,738102
ArpeggioDita2,input,0,1139371
ArpeggioDita2,input,1,1139371
ArpeggioDita2,target,0,1139371
ArpeggioDita2,target,1,1139371
ArpeggioDita3,input,0,661948
ArpeggioDita3,input,1,661948
ArpeggioDita3,target,0,661948
ArpeggioDita3,target,1,661948
ArpeggioDita4,input,0,866977
ArpeggioDita4,input,1,866977
ArpeggioDita4,target,0,866977
ArpeggioDita4,target,1,866977
ArpeggioDita5,input,0,1171590
ArpeggioDita5,input,1,1171590
ArpeggioDita5,target,0,1171590
ArpeggioDita5,target,1,1171590
ArpeggioPlettro1,input,0,702954
ArpeggioPlettro1,input,1,702954
ArpeggioPlettro1,target,0,702954
ArpeggioPlettro1,target,1,702954
ArpeggioPlettro2,input,0,784965
ArpeggioPlettro2,input,1,784965
ArpeggioPlettro2,target,0,784965
ArpeggioPlettro2,target,1,784965
ArpeggioPlettro3,input,0,702954
ArpeggioPlettro3,input,1,702954
ArpeggioPlettro3,target,0,702954
ArpeggioPlettro3,target,1,702954
Funk,input,0,948988
Funk,input,1,948988
Funk,target,0,948988
Funk,target,1,948988
NoteSingole,input,0,702954
NoteSingole,input,1,702954
NoteSingole,target,0,702954
NoteSingole,target,1,702954
OpenTuning,input,0,527216
OpenTuning,input,1,527216
OpenTuning,target,0,527216
OpenTuning,target,1,527216
OpenTuning2,input,0,1267963
OpenTuning2,input,1,1267963
OpenTuning2,target,0,1267963
OpenTuning2,target,1,1267963
OpenTuning3,input,0,714670
OpenTuning3,input,1,714670
OpenTuning3,target,0,714670
OpenTuning3,target,1,714670
OpenTuning4,input,0,715331
OpenTuning4,input,1,715331
OpenTuning4,target,0,715331
OpenTuning4,target,1,715331
OpenTuning5,input,0,667806
OpenTuning5,input,1,667806
OpenTuning5,target,0,667806
OpenTuning5,target,1,667806
OpenTuning6,input,0,1265317
OpenTuning6,input,1,1265317
OpenTuning6,target,0,1265317
OpenTuning6,target,1,1265317
PalmMuting,input,0,708812
PalmMuting,input,1,708812
PalmMuting,target,0,708812
PalmMuting,target,1,708812
PalmMuting2,input,0,584472
PalmMuting2,input,1,584472
PalmMuting2,target,0,584472
PalmMuting2,target,1,584472
Scale,input,0,234318
Scale,input,1,234318
Scale,target,0,234318
Scale,target,1,234318
Scale2,input,0,304613
Scale2,input,1,304613
Scale2,target,0,304613
Scale2,target,1,304613
Scale3,input,0,422103
Scale3,input,1,422103
Scale3,target,0,422103
Scale3,target,1,422103
Scale4,input,0,234318
Scale4,input,1,234318
Scale4,target,0,234318
Scale4,target,1,234318
Strumming1,input,0,471591
Strumming1,input,1,471591
Strumming1,target,0,471591
Strumming1,target,1,471591
Strumming2,input,0,515500
Strumming2,input,1,515500
Strumming2,target,0,515500
Strumming2,target,1,515500
Strumming3,input,0,702954
Strumming3,input,1,702954
Strumming3,target,0,702954
Strumming3,target,1,702954
Strumming4,input,0,734440
Strumming4,input,1,734440
Strumming4,target,0,734440
Strumming4,target,1,734440
Strumming5,input,0,1062935
Strumming5,input,1,1062935
Strumming5,target,0,1062935
Strumming5,target,1,1062935
Strumming6,input,0,1483526
Strumming6,input,1,1483526
Strumming6,target,0,1483526
Strumming6,target,1,1483526
Strumming7,input,0,995852
Strumming7,input,1,995852
Strumming7,target,0,995852
Strumming7,target,1,995852
